AAPL,167.9900,185.3500,188.9000,164.1100
AAPL,165.2100,168.2100,172.4900,159.4200
AAPL,143.5000,163.3900,165.0000,134.4200
AAPL,136.4700,142.4300,146.4000,132.8800
AAPL,125.8000,135.8100,135.9000,119.3800
AAPL,104.0900,125.8300,127.2000,103.8900
AAPL,89.3100,105.1200,109.9800,82.3300
AAPL,89.1000,89.3100,103.0000,86.5100
AAPL,85.8800,90.1300,97.1700,78.2000
AAPL,91.3000,85.3500,103.6000,84.5500
AAPL,105.9300,92.6700,111.7900,79.1400
AAPL,111.9200,107.5900,116.4000,85.0000
